Nomestado,Valor,Volumen,Precio,Asacrificado,Anio,Cveestado,Nomespecie,Nomproducto,Cveespecie,Cveproducto
Tamaulipas,2518.506,120.217,20.95,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,8612.073,368.805,23.35,3795.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,6241.187,451.275,13.83,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,208.65,3.852,54.17,0.0,2006.0,28.0,Abeja,Cera,1.0,2.0
Tamaulipas,884.413,36.03,24.55,0.0,2006.0,28.0,Abeja,Miel,1.0,7.0
Tamaulipas,134.01,7.962,16.83,4931.0,2006.0,28.0,Ave,Carne,3.0,1.0
Tamaulipas,105.242,10.27,10.25,0.0,2006.0,28.0,Ave,Huevo-plato,3.0,4.0
Tamaulipas,137.366,10.385,13.23,0.0,2006.0,28.0,Ave,Ganado en pie,3.0,8.0
Tamaulipas,25885.773,875.45,29.57,4419.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,35784.828,1746.73,20.49,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,2352.284,555.47,4.24,0.0,2006.0,28.0,Bovino,Leche,4.0,6.0
Tamaulipas,808.89,29.016,27.88,1559.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,900.584,53.141,16.95,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,3150.874,98.554,31.97,3330.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,3401.216,162.281,20.96,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,14842.543,642.086,23.12,7979.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,10681.598,798.573,13.38,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,518.7,9.576,54.17,0.0,2006.0,28.0,Abeja,Cera,1.0,2.0
Tamaulipas,2221.033,90.14,24.64,0.0,2006.0,28.0,Abeja,Miel,1.0,7.0
Tamaulipas,127.283,7.962,15.99,5002.0,2006.0,28.0,Ave,Carne,3.0,1.0
Tamaulipas,258.574,24.902,10.38,0.0,2006.0,28.0,Ave,Huevo-plato,3.0,4.0
Tamaulipas,137.326,10.334,13.29,0.0,2006.0,28.0,Ave,Ganado en pie,3.0,8.0
Tamaulipas,30191.184,969.94,31.13,4890.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,40199.61,1932.841,20.8,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,2609.708,616.49,4.23,0.0,2006.0,28.0,Bovino,Leche,4.0,6.0
Tamaulipas,1023.588,36.824,27.8,1977.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,1140.356,66.933,17.04,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,2111.432,66.042,31.97,2255.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,2300.869,109.835,20.95,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,5958.775,255.4,23.33,2771.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,4340.206,313.876,13.83,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,124.4,2.296,54.18,0.0,2006.0,28.0,Abeja,Cera,1.0,2.0
Tamaulipas,531.972,21.487,24.76,0.0,2006.0,28.0,Abeja,Miel,1.0,7.0
Tamaulipas,81.041,5.064,16.0,3231.0,2006.0,28.0,Ave,Carne,3.0,1.0
Tamaulipas,112.311,10.912,10.29,0.0,2006.0,28.0,Ave,Huevo-plato,3.0,4.0
Tamaulipas,86.769,6.517,13.31,0.0,2006.0,28.0,Ave,Ganado en pie,3.0,8.0
Tamaulipas,5467.911,175.65,31.13,883.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,7260.864,348.9,20.81,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,637.876,149.18,4.28,0.0,2006.0,28.0,Bovino,Leche,4.0,6.0
Tamaulipas,568.03,20.376,27.88,1095.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,631.304,37.197,16.97,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,989.823,30.96,31.97,1060.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,1082.652,51.705,20.94,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,3431.48,148.842,23.06,1838.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,2513.746,183.145,13.73,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,150.15,2.772,54.17,0.0,2006.0,28.0,Abeja,Cera,1.0,2.0
Tamaulipas,647.944,26.33,24.61,0.0,2006.0,28.0,Abeja,Miel,1.0,7.0
Tamaulipas,584.015,36.556,15.98,22262.0,2006.0,28.0,Ave,Carne,3.0,1.0
Tamaulipas,113.359,12.113,9.36,0.0,2006.0,28.0,Ave,Huevo-plato,3.0,4.0
Tamaulipas,621.823,46.839,13.28,0.0,2006.0,28.0,Ave,Ganado en pie,3.0,8.0
Tamaulipas,14238.495,457.45,31.13,2305.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,18940.098,910.573,20.8,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,1218.302,287.81,4.23,0.0,2006.0,28.0,Bovino,Leche,4.0,6.0
Tamaulipas,53.606,1.944,27.58,103.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,58.726,3.463,16.96,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,791.668,24.762,31.97,889.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,892.881,42.657,20.93,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,406.485,17.443,23.3,200.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,300.161,21.791,13.78,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
